slat,slon,dlat,dlon
-73.98719025,40.75074387,-73.80545807,40.68222046
-73.99073792,40.76622772,-73.9948349,40.75008392
-73.96540833,40.79537964,-74.01257324,40.70155334
-73.98519135,40.72909164,-73.98096466,40.74178314
-73.95553589,40.7796936,-73.95355225,40.7879715
-74.00971222,40.72039032,-73.98493195,40.69197845
-73.98949432,40.75367737,-73.98833466,40.74594879
-73.94403839,40.71157837,-73.83838654,40.70336914
-73.99051666,40.73057938,-74.0017395,40.73521042
-74.00630951,40.74468231,-73.99168396,40.76503372
-73.98175049,40.76856995,-73.9848175,40.76441956
-73.98797607,40.76159668,-73.97373962,40.77963638
-73.99725342,40.72550964,-73.99394226,40.73254013
-73.98873138,40.74884033,-73.98296356,40.76012039
-73.9715271,40.79539871,-73.95487976,40.8202095
-73.99220276,40.72133255,-73.95440674,40.68586349
-73.96112061,40.77196884,-73.96575928,40.76543045
-73.97798157,40.68478012,-73.95413208,40.6133461
-73.95896912,40.76800919,-73.98249054,40.76605988
-73.98092651,40.77969742,-73.97502136,40.78433228
-73.97058105,40.75873184,-73.99867249,40.74982834
-73.87882233,40.74019623,-73.93547821,40.7430687
-74.00629425,40.74990463,-73.96700287,40.76101303
-73.97611237,40.77614975,-73.97931671,40.7653389
-73.99082184,40.75575256,-73.99752808,40.722435
-73.98538208,40.75025177,-74.01059723,40.70981979
-73.98612213,40.72642899,-73.99942017,40.72024918
-73.97898102,40.75651932,-73.99216461,40.74920273
-73.95475006,40.76551437,-73.9910965,40.7261734
-73.95552063,40.7792778,-73.97890472,40.74277878
-73.95514679,40.78255463,-73.96663666,40.80797577
-73.86266327,40.76876831,-73.97521973,40.76351166
-73.97229767,40.75606537,-73.99039459,40.77176666
-73.97357178,40.75216675,-73.97453308,40.73026657
-73.98028564,40.73442841,-73.97634125,40.76398849
-73.97564697,40.7414093,-73.97724152,40.72637177
-73.98944855,40.74169922,-73.98248291,40.76763153
-74.00390625,40.74193192,-73.99950409,40.76133347
-73.97727966,40.75818634,-73.95835114,40.78150177
-73.99407196,40.74111176,-73.99867249,40.74225616
-73.98439789,40.72854996,-73.97219086,40.74757004
-74.00700378,40.73987198,-74.00589752,40.74017334
-73.97668457,40.78823853,-73.96554565,40.75525284
-73.98094177,40.75783157,-73.99105072,40.7604866
-73.97071838,40.75880814,-73.9756012,40.75268936
-74.00756836,40.73271561,-74.00250244,40.72480392
-74.00940704,40.70612335,-73.97463226,40.75115967
-73.95810699,40.76929092,-73.95420837,40.76411438
-73.99170685,40.74776459,-73.98032379,40.74323654
-73.99375916,40.73271942,-73.9912796,40.74226379
-73.96219635,40.76779556,-73.96894073,40.76355743
-73.97855377,40.7369957,-73.95713043,40.76615143
-73.99097443,40.76063156,-73.99472046,40.75045013
-73.78205109,40.64464188,-73.9927597,40.68133926
-73.96022034,40.79800034,-73.98101807,40.76198578
-73.97556305,40.78181839,-73.97558594,40.76074982
-73.96614075,40.762146,-73.95615387,40.76759338
-73.96710205,40.78830719,-73.97167969,40.76392365
-73.94998932,40.78459167,-73.95170593,40.79050827
-73.96196747,40.76832581,-73.99036407,40.75102997
-73.86267853,40.76890182,-73.88556671,40.74124146
-73.98548126,40.75812149,-73.99965668,40.7441597
-73.99611664,40.76391983,-73.99363708,40.75733185
